trial_id,trial_dir,method,scenario,lighting,group_type,gesture_label,trigger_family,trial_index,round_index,valid_capture,missed,n_frames,segmentation_purity_percent,predicted_label,inference_correct,recognition_efficiency
20260508.175844.622049,metric_tests\proposed_auto\dim\20260508.175844.622049,proposed_auto,dim,dim,lighting,SwipeD,wrist_trigger,6,1,True,False,32,77.41935483870968,SwipeD,1,93.75
20260508.175853.539106,metric_tests\proposed_auto\dim\20260508.175853.539106,proposed_auto,dim,dim,lighting,SwipeD,wrist_trigger,7,2,True,False,29,89.28571428571429,SwipeD,1,100.0
20260508.175900.039125,metric_tests\proposed_auto\dim\20260508.175900.039125,proposed_auto,dim,dim,lighting,SwipeD,wrist_trigger,8,3,True,False,22,71.42857142857143,SwipeD,1,100.0
20260508.175915.054764,metric_tests\proposed_auto\dim\20260508.175915.054764,proposed_auto,dim,dim,lighting,SwipeD,wrist_trigger,9,4,False,True,0,0.0,,0,0.0
20260508.175919.989030,metric_tests\proposed_auto\dim\20260508.175919.989030,proposed_auto,dim,dim,lighting,SwipeD,wrist_trigger,10,5,True,False,24,73.91304347826086,SwipeD,1,100.0
20260508.175928.572038,metric_tests\proposed_auto\dim\20260508.175928.572038,proposed_auto,dim,dim,lighting,swipeL,wrist_trigger,11,1,True,False,21,85.0,swipeR,0,0.0
20260508.175933.386962,metric_tests\proposed_auto\dim\20260508.175933.386962,proposed_auto,dim,dim,lighting,swipeL,wrist_trigger,12,2,True,False,22,85.71428571428571,swipeL,1,100.0
20260508.175938.090960,metric_tests\proposed_auto\dim\20260508.175938.090960,proposed_auto,dim,dim,lighting,swipeL,wrist_trigger,13,3,True,False,22,95.23809523809523,swipeR,0,0.0
20260508.175942.893540,metric_tests\proposed_auto\dim\20260508.175942.893540,proposed_auto,dim,dim,lighting,swipeL,wrist_trigger,14,4,True,False,22,85.71428571428571,SwipeU,0,0.0
20260508.180000.614848,metric_tests\proposed_auto\dim\20260508.180000.614848,proposed_auto,dim,dim,lighting,swipeL,wrist_trigger,15,5,True,False,19,88.88888888888889,swipeL,1,100.0
20260508.180010.426753,metric_tests\proposed_auto\dim\20260508.180010.426753,proposed_auto,dim,dim,lighting,swipeR,wrist_trigger,16,1,True,False,21,80.0,swipeR,1,100.0
20260508.180021.946572,metric_tests\proposed_auto\dim\20260508.180021.946572,proposed_auto,dim,dim,lighting,swipeR,wrist_trigger,17,2,True,False,21,85.0,swipeR,1,100.0
